id,text,len tweet,likes,rt,position
1265316814529101824,"La 4T logró aplanar la economía, mientras la crisis del #coronavirus arroja un superávit día tras día. ",126,34,11,0
1263858907891499008,Le quedó corta la honestidad a la 4T. ,61,93,21,0
1263173920955326464,"RT @MarthaTagle: Si no fuera por la corbata, juraría que es la misma declaración de siempre. 
Presidente @lopezobrador_ no por negar una y…",139,0,934,0
1262424874737381376,"""En sólo 15 meses la 4T se ha desmoronado como un castillo de arena"". ",93,107,20,0
1262104725006233602,La 4T le pega a la inversión en Nuevo León. ,67,98,13,0
1261392191932583936,RT @reformanacional: Luego que el Presidente Andrés Manuel López Obrador afirmara que son falsas las llamadas de auxilio por violencia fami…,140,0,98,0
1261341443303641089,"A los habitantes de Nuevo León: no le hagan caso a #AMLO. 

El Presidente dice que no cree en el crecimiento y el P… ",140,469,105,0
1260659096962785281,"Nunca una crisis había sido bautizada como ""nueva normalidad"".  A eso va la 4T a normalizar la pobreza, el desemple… ",140,616,152,0
1259881631386648579,"Sobre el decreto de #AMLO:
¿Estás de acuerdo que las fuerzas armadas (Ejército y Marina) asuman tareas de seguridad pública?",124,13,10,0
1259860194357653513,Un AMLO con síntomas de Trump. ,54,50,13,0
1258462812415770626,RT @ElFinanciero_Mx: #MonerosFinancieros @lopezobrador_ contra el coronavirus... por @monerorictus. ,123,0,897,0
1257745276972019714,Así la realidad de la 4T. ,49,55,8,0
1257723160062902272,"RT @CarlosLoret: Hemos denunciado con pruebas a @ManuelBartlett y su hijo, y el gobierno del presidente @lopezobrador_ insiste en señalar q…",140,0,8491,0
1257694699504185345,"RT @MarioMal: AMLO pone a sus incondicionales a buscar dinero

Mi columna en @El_Universal_Mx ",117,0,106,0
1257370631399788550,"#AMLO utiliza la misma estrategia de #Trump: atacar a la prensa y dar un ""espectáculo sin valor"" en sus conferencia… ",140,62,20,0
